,prediction
3300021375_18,facultative
3300008541_21,facultative
3300024256_14,facultative
3300029783_24,facultative
3300021471_9,facultative
3300013105_95,facultative
3300029690_25,facultative
3300029595_32,facultative
3300011824_7,facultative
3300008056_2,facultative
3300025375_6,facultative
3300024258_24,facultative
3300027697_29,facultative
3300029843_22,facultative
3300027728_38,facultative
3300007806_6,facultative
3300006931_37,facultative
3300022602_23,facultative
3300008300_2,facultative
3300014886_17,anaerobe
3300025303_12,facultative
3300024329_10,facultative
3300029681_19,facultative
3300018023_27,facultative
3300025631_7,facultative
3300026825_13,facultative
3300029590_39,facultative
3300011668_2,facultative
3300011633_2,facultative
3300002468_14,facultative
3300029904_20,facultative
3300007035_7,facultative
3300020200_100,facultative
3300027962_9,facultative
3300008743_12,facultative
3300009343_7,facultative
3300009702_80,facultative
3300029501_6,facultative
3300001567_19,facultative
3300010265_27,facultative
3300007519_13,facultative
3300014919_6,facultative
3300029108_12,facultative
3300008743_17,anaerobe
3300008363_15,facultative
3300029719_27,facultative
3300025649_14,facultative
3300025589_22,facultative
3300017990_22,facultative
3300013886_5,facultative
3300012192_2,facultative
3300026289_15,facultative
3300029439_19,facultative
3300025724_40,facultative
3300008581_12,facultative
3300010354_74,facultative
3300005262_13,facultative
3300012824_5,facultative
3300018892_4,facultative
3300020733_2,facultative
3300013125_75,anaerobe
3300020477_54,facultative
3300008716_26,facultative
3300011588_1,facultative
3300025877_36,facultative
3300022741_7,facultative
3300029840_21,facultative
3300013190_2,facultative
3300021843_30,facultative
3300012265_9,facultative
3300017494_11,facultative
3300010262_12,facultative
3300010265_39,facultative
3300025452_7,facultative
3300012112_3,facultative
3300013717_1,facultative
3300025440_6,facultative
3300029494_31,facultative
3300017518_41,facultative
3300025622_47,facultative
3300020263_18,facultative
3300012270_6,facultative
3300011146_1,facultative
3300029647_9,facultative
3300008486_35,facultative
3300029105_6,facultative
3300029671_10,facultative
3300026519_68,facultative
3300011977_24,facultative
3300021604_12,facultative
3300011737_2,facultative
3300017697_18,facultative
3300027283_75,facultative
3300008063_22,facultative
3300027147_5,facultative
3300025683_13,facultative
3300011500_3,facultative
3300017697_16,facultative
3300024329_6,facultative
3300014887_40,facultative
3300029634_12,facultative
3300006461_6,facultative
3300027607_48,facultative
3300026270_12,facultative
3300017470_11,facultative
3300025691_27,facultative
3300025809_60,facultative
3300017395_14,facultative
3300025870_31,facultative
3300007360_6,facultative
3300011146_5,facultative
3300004630_7,facultative
3300007722_43,facultative
3300029218_16,facultative
3300014523_3,facultative
3300025065_7,facultative
3300029610_29,facultative
3300029595_17,facultative
3300009702_59,facultative
3300012115_8,facultative
3300008472_11,facultative
3300010151_9,facultative
3300006457_11,facultative
3300011772_7,facultative
3300025869_32,facultative
3300020222_90,facultative
3300017395_12,facultative
3300020400_25,facultative
3300007802_7,facultative
3300021486_5,facultative
3300028624_17,facultative
3300025789_7,facultative
3300025878_1,facultative
3300017419_18,anaerobe
3300000568_36,facultative
3300029710_30,facultative
3300007109_13,facultative
3300010037_9,facultative
3300017688_4,facultative
3300028973_1,facultative
3300023094_7,facultative
3300027791_33,facultative
3300021400_81,facultative
3300028559_49,facultative
3300009702_28,facultative
3300015199_8,facultative
3300029793_16,facultative
3300027679_7,facultative
3300011631_2,facultative
3300017938_23,anaerobe
3300027325_24,facultative
3300020352_5,facultative
3300024355_3,facultative
3300025849_38,facultative
3300029755_13,facultative
3300027828_70,facultative
3300012521_16,facultative
3300021424_46,facultative
3300029769_19,facultative
3300012889_31,facultative
3300026762_2,facultative
3300012125_5,facultative
3300021488_2,facultative
3300025702_47,facultative
3300014832_13,facultative
3300013132_90,facultative
3300006460_34,facultative
3300026267_14,facultative
3300025421_4,facultative
3300017505_17,facultative
3300010269_6,facultative
3300029373_12,facultative
3300025727_38,facultative
3300024058_18,facultative
3300020128_8,facultative
3300011997_21,anaerobe
3300024309_7,facultative
3300025897_53,facultative
3300025623_16,facultative
3300015360_71,facultative
3300021343_14,facultative
3300012194_2,facultative
3300028398_31,anaerobe
3300011206_2,facultative
3300011586_3,facultative
3300009540_44,facultative
3300026202_12,facultative
3300029256_18,facultative
3300014769_5,facultative
3300029737_14,facultative
3300025161_40,facultative
3300010399_30,facultative
3300025487_13,facultative
3300027672_20,facultative
3300027340_7,facultative
3300025459_6,anaerobe
3300011196_3,facultative
3300029098_20,facultative
3300025396_7,facultative
3300029422_19,facultative
3300027751_17,facultative
3300007297_17,facultative
3300020139_24,facultative
3300014963_31,facultative
3300025870_19,facultative
3300007128_1,facultative
3300027279_15,facultative
3300025250_5,facultative
3300011933_16,facultative
3300025648_16,facultative
3300006258_3,facultative
3300007043_8,facultative
3300029379_32,facultative
3300010267_5,facultative
3300020463_18,facultative
3300021318_16,facultative
3300025677_24,facultative
3300027815_97,facultative
3300020364_18,facultative
3300027759_33,facultative
3300006320_16,facultative
3300029056_11,facultative
3300006563_2,facultative
3300009702_112,facultative
3300010278_22,facultative
3300025503_55,facultative
3300010265_36,anaerobe
3300027284_10,facultative
3300013103_99,facultative
3300029321_10,facultative
3300005689_4,facultative
3300008103_25,facultative
3300014806_18,facultative
3300026478_1,facultative
3300027712_12,facultative
3300012846_7,facultative
3300007339_8,facultative
3300013131_70,facultative
3300012272_4,facultative
3300025640_25,facultative
3300025797_3,facultative
3300011929_2,facultative
3300014109_22,facultative
3300017971_108,facultative
3300024218_3,facultative
3300021134_7,facultative
3300017548_12,facultative
3300029487_21,facultative
3300020381_10,facultative
3300008518_33,facultative
3300029901_16,facultative
3300025949_30,facultative
3300029578_27,facultative
3300026278_7,facultative
3300027649_23,facultative
3300027820_21,facultative
3300018878_122,facultative
3300014530_7,facultative
3300028299_27,facultative
3300011379_2,facultative
3300020580_5,facultative
3300029221_12,facultative
3300011966_4,facultative
3300000347_2,facultative
3300025546_28,facultative
3300000226_17,facultative
3300029520_10,facultative
3300020377_21,facultative
3300029428_30,facultative
3300013137_196,facultative
3300022377_9,facultative
3300029074_4,facultative
3300008081_7,facultative
3300025700_34,facultative
3300008715_8,facultative
3300010262_4,facultative
3300007362_13,facultative
3300024299_8,anaerobe
3300006566_14,facultative
3300026080_5,facultative
3300027770_33,facultative
3300019371_10,facultative
3300017400_40,facultative
3300027325_11,facultative
3300012824_6,facultative
3300006186_15,facultative
3300017529_4,facultative
3300007925_25,facultative
3300027366_7,facultative
3300027554_16,facultative
3300008561_8,facultative
3300026086_15,facultative
3300028990_5,facultative
3300010281_19,facultative
3300029031_6,facultative
3300025253_4,facultative
3300020477_75,facultative
3300024258_26,facultative
3300029070_6,facultative
3300025097_5,facultative
3300007208_11,facultative
3300006676_3,facultative
3300014886_16,anaerobe
3300009503_321,facultative
3300029295_15,facultative
3300028633_21,facultative
3300026237_10,facultative
3300014693_1,facultative
3300008514_14,facultative
3300025577_21,facultative
3300000235_7,facultative
3300025303_15,facultative
3300011732_1,facultative
3300012018_15,facultative
3300020369_9,facultative
3300014720_33,facultative
3300020603_95,facultative
3300025641_9,facultative
3300014831_14,facultative
3300029572_22,facultative
3300027157_7,facultative
3300013598_1,facultative
3300022661_60,facultative
3300000154_14,facultative
3300014964_9,facultative
3300020469_12,facultative
3300027770_3,facultative
3300026255_15,facultative
3300018424_62,facultative
3300025488_34,facultative
3300029384_17,facultative
3300025900_11,facultative
3300014540_3,facultative
3300029326_7,facultative
3300020447_19,facultative
3300027704_17,facultative
3300025047_1,facultative
3300006249_14,facultative
3300011907_5,facultative
3300012999_25,facultative
3300025364_2,facultative
3300009779_108,facultative
3300012555_1,facultative
3300020378_9,facultative
3300022661_135,facultative
3300021126_3,facultative
3300024334_10,facultative
3300024302_31,facultative
3300008098_19,facultative
3300005529_94,facultative
3300014951_17,facultative
3300027863_195,anaerobe
3300013980_1,facultative
3300027917_45,facultative
3300013125_107,facultative
3300027342_3,facultative
3300006487_3,facultative
3300025420_2,facultative
3300029326_11,facultative
3300007194_15,facultative
3300024939_3,facultative
3300027555_11,facultative
3300027983_69,facultative
3300026287_15,facultative
3300007969_9,facultative
3300013132_16,facultative
3300020109_46,facultative
3300008480_24,facultative
3300007924_4,facultative
3300028571_75,facultative
3300012016_20,facultative
3300028640_18,facultative
3300023054_4,facultative
3300029713_40,facultative
3300024042_8,facultative
3300006295_3,facultative
3300029862_26,facultative
3300020202_17,facultative
3300007498_15,facultative
3300013996_1,facultative
3300025479_4,facultative
3300017426_37,facultative
3300020057_22,facultative
3300029243_28,facultative
3300026031_2,facultative
3300011522_3,facultative
3300025611_16,facultative
3300012136_4,facultative
3300029331_22,facultative
3300008534_4,facultative
3300020327_20,facultative
3300027983_73,facultative
3300029850_9,facultative
3300011883_2,facultative
3300024922_7,facultative
3300007300_37,facultative
3300008734_53,facultative
3300014152_20,facultative
3300017513_28,facultative
3300026968_2,facultative
3300023233_5,facultative
3300027462_1,facultative
3300007305_24,facultative
3300025737_72,facultative
3300027593_4,facultative
3300010339_25,facultative
3300005985_34,facultative
3300025709_46,facultative
3300025503_46,facultative
3300015370_54,facultative
3300003364_4,facultative
3300029445_39,facultative
3300017426_31,facultative
3300026311_74,facultative
3300025856_21,facultative
3300012879_2,facultative
3300007297_12,facultative
3300017992_52,facultative
3300012078_5,facultative
3300011593_3,facultative
3300011799_4,facultative
3300019374_14,facultative
3300022753_118,facultative
3300013732_1,facultative
3300008705_3,facultative
3300011992_7,facultative
3300025699_21,facultative
3300025659_43,facultative
3300017655_17,facultative
3300029893_16,facultative
3300011463_1,facultative
3300029510_15,facultative
3300002174_63,facultative
3300029393_14,facultative
3300029610_33,facultative
3300029821_8,facultative
3300028568_19,facultative
3300028629_21,facultative
3300014913_9,facultative
3300021431_46,facultative
3300003686_2,facultative
3300025882_27,facultative
3300029634_5,facultative
3300008732_10,facultative
3300022181_14,facultative
3300020603_67,facultative
3300025505_6,facultative
3300027839_78,facultative
3300020214_30,facultative
3300014531_9,facultative
3300021400_87,facultative
3300009084_171,facultative
3300029442_15,facultative
3300011186_2,facultative
3300012833_9,facultative
3300002308_10,facultative
3300025661_15,anaerobe
3300029181_7,facultative
3300027958_46,facultative
3300005460_43,facultative
3300025478_26,facultative
3300024238_2,facultative
3300029874_30,facultative
3300025253_20,facultative
3300025815_7,facultative
3300007108_5,facultative
3300028989_7,facultative
3300020168_48,facultative
3300013356_1,facultative
3300029815_16,facultative
3300027354_5,facultative
3300025986_18,facultative
3300014911_35,facultative
3300026509_4,facultative
3300020677_2,facultative
3300027155_11,facultative
3300026516_41,facultative
3300029016_7,facultative
3300025882_57,facultative
3300001096_20,facultative
3300014941_6,facultative
3300020220_65,facultative
3300029547_13,facultative
3300012089_5,facultative
3300025879_13,facultative
3300018065_20,facultative
3300027712_23,facultative
3300025702_9,anaerobe
3300026303_11,facultative
3300014793_8,facultative
3300029356_10,facultative
3300029332_17,facultative
3300013126_104,facultative
3300009381_6,facultative
3300006226_86,facultative
3300008091_17,facultative
3300012136_9,facultative
3300025047_8,facultative
3300005086_9,facultative
3300025064_1,facultative
3300027205_1,facultative
3300000062_7,facultative
3300022868_7,facultative
3300027690_34,facultative
3300000059_8,facultative
3300012036_10,facultative
3300024971_8,facultative
3300025297_22,facultative
3300026290_57,facultative
3300020214_80,facultative
3300021387_69,facultative
3300029857_44,facultative
3300025425_7,facultative
3300017398_24,facultative
3300027716_6,facultative
3300009083_78,facultative
3300020309_8,facultative
3300024221_3,facultative
3300020266_16,facultative
3300027681_5,facultative
3300015207_29,facultative
3300007722_22,facultative
3300018878_108,facultative
2081372013_1,facultative
3300008637_2,facultative
3300018430_121,facultative
3300012044_11,facultative
3300012153_12,facultative
3300007732_7,facultative
3300013126_6,facultative
3300007669_14,facultative
3300014208_164,facultative
3300013137_61,facultative
3300020351_11,facultative
3300009767_42,facultative
3300027736_28,facultative
3300027026_12,facultative
3300017938_21,facultative
3300025857_8,facultative
3300027833_14,facultative
3300025619_20,facultative
3300021468_30,facultative
3300028048_61,facultative
3300027211_8,facultative
3300014914_46,anaerobe
3300027137_13,facultative
3300008715_17,facultative
3300027910_3,facultative
3300020477_62,facultative
3300025659_23,facultative
3300028029_5,facultative
3300028968_8,facultative
3300026286_9,facultative
3300025708_11,facultative
3300011628_3,facultative
3300027282_5,facultative
3300029844_28,facultative
3300021093_72,facultative
3300025547_13,facultative
3300029220_18,anaerobe
3300008556_5,facultative
3300025502_28,facultative
3300014793_6,facultative
3300008626_7,facultative
3300000839_73,facultative
3300008334_6,facultative
3300014911_16,anaerobe
3300017650_9,facultative
3300017419_3,facultative
3300029020_19,facultative
3300029380_36,facultative
3300029587_27,facultative
3300017398_8,facultative
3300029416_24,facultative
3300029227_11,facultative
3300007096_8,facultative
3300015360_85,facultative
3300012184_5,facultative
3300007802_10,facultative
3300010282_8,facultative
3300029491_11,facultative
3300008382_3,facultative
3300013850_1,facultative
3300021603_27,facultative
3300020138_6,facultative
3300011157_4,facultative
3300006253_42,aerobe
3300012148_9,facultative
3300013925_3,facultative
3300025529_16,facultative
3300020262_20,facultative
3300011979_4,facultative
3300025047_2,facultative
3300022828_2,facultative
3300008571_17,facultative
3300029614_22,facultative
3300025622_25,facultative
3300029365_33,facultative
3300025728_22,facultative
3300009770_51,facultative
3300022912_15,facultative
3300014747_4,facultative
3300026229_2,facultative
3300012147_2,facultative
3300021288_6,facultative
3300020393_15,facultative
3300017513_40,facultative
3300010428_31,facultative
3300026299_7,facultative
3300025672_6,facultative
3300024259_24,facultative
3300013771_15,facultative
3300028287_26,facultative
3300022908_5,facultative
3300024914_6,facultative
3300011947_2,facultative
3300027744_25,facultative
3300026254_12,facultative
3300026511_10,facultative
3300007991_3,facultative
3300027090_1,facultative
3300028961_6,facultative
3300011626_2,facultative
3300029186_11,facultative
3300020695_2,facultative
3300025877_70,facultative
3300017429_21,facultative
3300027391_35,facultative
3300025028_1,facultative
3300023254_8,facultative
3300025935_13,facultative
3300029745_22,facultative
3300023179_30,facultative
3300021399_44,facultative
3300023091_9,facultative
3300013123_163,facultative
3300013130_100,facultative
3300013100_31,facultative
3300012033_3,facultative
3300012956_48,facultative
3300029577_24,facultative
3300014935_8,facultative
3300029496_26,facultative
3300011917_3,facultative
3300029331_25,facultative
3300025924_14,facultative
3300001096_15,facultative
3300025216_3,facultative
3300014040_8,facultative
3300008275_8,facultative
3300007746_2,facultative
3300027751_20,facultative
3300029855_16,facultative
3300005647_9,facultative
3300025471_37,anaerobe
3300025686_56,facultative
3300014794_6,facultative
3300013125_67,facultative
3300025105_50,anaerobe
3300021254_83,facultative
3300029788_31,facultative
3300025564_5,facultative
3300027844_56,facultative
3300027863_320,facultative
3300029540_25,facultative
3300026196_6,facultative
3300018427_70,facultative
3300025498_10,facultative
3300020401_8,facultative
3300026549_79,facultative
3300008636_7,facultative
3300029358_7,facultative
3300029751_5,facultative
3300027222_5,facultative
3300012521_30,facultative
3300029818_5,facultative
3300009083_36,facultative
3300008326_17,facultative
3300013131_33,facultative
3300025720_28,facultative
3300012845_12,facultative
3300025724_21,facultative
3300029531_15,facultative
3300025727_12,facultative
3300020429_12,facultative
3300014919_4,facultative
3300029360_32,facultative
3300018430_47,facultative
3300008154_6,facultative
3300025373_9,facultative
3300024927_3,facultative
3300011683_3,facultative
3300018025_19,facultative
3300014159_15,facultative
3300025503_30,facultative
3300007210_13,facultative
3300012278_2,facultative
3300010274_15,facultative
3300012942_91,facultative
3300000212_24,facultative
3300025772_38,facultative
3300014803_19,facultative
3300025881_45,facultative
3300027687_12,facultative
3300027823_31,facultative
3300010167_40,facultative
3300014826_12,facultative
3300025705_31,facultative
3300007184_18,facultative
3300007519_81,facultative
3300029233_6,facultative
3300010167_34,facultative
3300020406_29,facultative
3300020705_6,facultative
3300029855_8,facultative
3300008348_5,facultative
3300020364_55,facultative
3300029492_22,facultative
3300024903_6,facultative
3300027302_9,facultative
3300026262_35,facultative
3300012816_8,facultative
3300027627_18,facultative
3300021843_38,facultative
3300007210_24,facultative
3300025812_14,facultative
3300029842_26,facultative
3300029770_31,facultative
3300029821_34,facultative
3300017964_38,facultative
3300029240_27,facultative
3300029580_23,facultative
3300020187_32,facultative
3300018430_50,facultative
3300020220_29,facultative
3300025671_4,facultative
3300017518_40,facultative
3300021426_80,facultative
3300012815_1,facultative
3300005298_5,facultative
3300025249_1,facultative
3300020184_42,facultative
3300011158_3,facultative
3300027834_36,facultative
3300027760_9,facultative
3300005615_15,facultative
3300025706_22,facultative
3300028601_27,facultative
3300025094_17,facultative
3300027980_34,facultative
3300027863_243,facultative
3300023231_2,facultative
3300008383_9,facultative
3300027968_56,facultative
3300005286_30,facultative
3300020285_2,facultative
3300029782_37,facultative
3300011138_3,facultative
3300025684_44,facultative
3300008080_27,facultative
3300027600_7,facultative
3300020297_7,facultative
3300020694_5,facultative
3300014356_2,facultative
3300012270_3,facultative
3300020582_7,facultative
3300009703_15,facultative
3300027983_51,facultative
3300020055_44,facultative
3300025044_14,facultative
3300012165_2,facultative
3300008101_41,facultative
3300029303_11,facultative
3300000362_36,facultative
3300009503_297,facultative
3300014037_36,facultative
3300027848_23,facultative
3300000839_56,facultative
3300029118_13,facultative
3300014779_3,anaerobe
3300025720_37,facultative
3300029769_20,facultative
3300027492_9,facultative
3300018917_9,facultative
3300008405_3,facultative
3300007360_12,facultative
3300010428_6,facultative
3300013137_75,anaerobe
3300020473_9,facultative
3300029611_23,facultative
3300008148_8,facultative
3300025105_22,facultative
3300005838_8,facultative
3300027844_59,facultative
3300025702_38,facultative
3300012258_2,facultative
3300026293_10,facultative
3300027276_56,facultative
3300027649_34,facultative
3300025544_8,facultative
3300010401_69,facultative
3300014544_5,facultative
3300000205_11,aerobe
3300029765_11,facultative
3300029009_3,facultative
3300027282_3,facultative
3300028964_11,facultative
3300029044_14,facultative
3300020443_13,facultative
3300029822_24,facultative
3300013138_52,facultative
3300012126_6,facultative
3300011812_6,facultative
3300028567_23,facultative
3300027418_6,facultative
3300011972_6,facultative
3300027146_4,facultative
3300029295_17,facultative
3300025702_12,facultative
3300014819_4,facultative
3300025882_33,facultative
3300029088_8,facultative
3300029512_6,facultative
3300001598_57,facultative
3300013123_145,facultative
3300007093_4,facultative
3300007783_13,facultative
3300021478_9,facultative
3300013126_26,aerobe
3300029348_16,facultative
3300026992_6,facultative
3300012838_8,facultative
3300027712_18,facultative
3300007121_15,facultative
3300001567_18,facultative
3300026512_15,facultative
3300013830_22,facultative
3300000839_43,facultative
3300029196_9,facultative
3300027339_7,facultative
3300029330_21,facultative
3300025737_41,facultative
3300013128_29,facultative
3300029840_22,facultative
3300029887_13,facultative
3300029310_7,facultative
3300007666_24,facultative
3300014749_3,facultative
3300006292_22,facultative
3300024329_12,facultative
3300028576_30,anaerobe
3300029523_3,facultative
3300025584_29,facultative
3300022916_36,facultative
3300025108_6,facultative
3300002168_61,facultative
3300005081_8,anaerobe
3300029609_22,facultative
3300020687_3,facultative
3300000839_38,facultative
3300007129_7,facultative
3300029443_18,facultative
3300017991_35,facultative
3300026970_9,facultative
3300008622_17,facultative
3300027706_35,facultative
3300020221_62,aerobe
3300014671_2,facultative
3300007991_14,facultative
3300029370_4,facultative
3300005298_9,anaerobe
3300010299_21,facultative
3300029853_14,facultative
3300007353_22,facultative
3300029471_17,facultative
3300029605_16,facultative
3300029609_31,facultative
3300027328_15,facultative
3300029116_18,facultative
3300006028_36,facultative
3300025274_1,facultative
3300029842_9,facultative
3300029400_13,facultative
3300025529_11,facultative
3300011573_2,facultative
3300025461_3,facultative
3300009704_37,facultative
3300011572_3,facultative
3300011909_5,facultative
3300029612_14,facultative
3300013410_1,facultative
3300027849_25,facultative
3300024509_3,facultative
3300028398_63,facultative
3300011142_2,facultative
3300029613_35,facultative
3300012243_5,facultative
3300025931_56,facultative
3300012845_6,facultative
3300012567_1,facultative
3300011587_3,facultative
3300014808_6,facultative
3300028559_37,facultative
3300012996_7,facultative
3300025481_3,facultative
3300006247_10,facultative
3300025440_17,facultative
3300009826_49,facultative
3300027224_8,facultative
3300013123_52,facultative
3300025198_2,facultative
3300010265_5,facultative
3300013123_31,anaerobe
3300029582_10,facultative
3300008748_11,facultative
3300025699_28,facultative
3300025668_37,facultative
3300008306_4,facultative
3300025704_37,facultative
3300010285_14,facultative
3300028564_19,facultative
3300012886_2,facultative
3300008150_26,facultative
3300029190_13,facultative
3300000157_4,facultative
3300029036_7,facultative
3300025526_18,facultative
3300011813_4,facultative
3300025923_18,facultative
3300008420_8,facultative
3300011623_1,facultative
3300017958_37,facultative
3300008754_6,facultative
3300012257_3,facultative
3300009540_91,facultative
3300006317_13,facultative
3300027196_8,facultative
3300013751_13,facultative
3300011355_1,facultative
3300028298_7,facultative
3300025806_9,facultative
3300011467_2,facultative
3300007270_7,facultative
3300011609_6,facultative
3300022845_6,facultative
3300027459_1,facultative
3300025609_4,facultative
3300009702_54,facultative
3300012886_16,facultative
